[2026-08-05T15:51:20.803Z] GET http://localhost:5174/src/data/index.ts → 200 (5ms, ?B)
[2026-08-05T15:51:20.803Z] GET http://localhost:5174/src/state/integration.ts → 200 (5ms, ?B)
[2026-08-05T15:51:20.806Z] GET http://localhost:5174/src/state/store.ts → 200 (2ms, ?B)
[2026-08-05T15:51:20.806Z] GET http://localhost:5174/src/ui/screens/Battle.tsx?t=1785944925634 → 200 (3ms, ?B)
[2026-08-05T15:51:20.806Z] GET http://localhost:5174/src/ui/screens/MageInfo.tsx → 200 (3ms, ?B)
[2026-08-05T15:51:20.806Z] GET http://localhost:5174/src/ui/screens/StageSelect.tsx → 200 (6ms, ?B)
[2026-08-05T15:51:20.806Z] GET http://localhost:5174/src/ui/screens/Title.tsx → 200 (7ms, ?B)
[2026-08-05T15:51:20.806Z] GET http://localhost:5174/src/ui/screens/Shells.tsx → 200 (7ms, ?B)
[2026-08-05T15:51:20.808Z] GET http://localhost:5174/src/data/stage1.ts → 200 (6ms, ?B)
[2026-08-05T15:51:20.808Z] GET http://localhost:5174/src/game/sim.ts → 200 (6ms, ?B)
[2026-08-05T15:51:20.808Z] GET http://localhost:5174/src/game/path.ts → 200 (6ms, ?B)
[2026-08-05T15:51:20.808Z] GET http://localhost:5174/src/render/index.ts → 200 (6ms, ?B)
[2026-08-05T15:51:20.808Z] GET http://localhost:5174/node_modules/.vite/deps/zustand.js?v=09d1437f → 200 (?ms, -308B)
[2026-08-05T15:51:20.808Z] GET http://localhost:5174/src/state/persist.ts → 200 (6ms, ?B)
[2026-08-05T15:51:20.809Z] GET http://localhost:5174/src/ui/theme/elements.ts → 200 (6ms, ?B)
[2026-08-05T15:51:20.809Z] GET http://localhost:5174/src/ui/data/mageFixtures.ts → 200 (6ms, ?B)
[2026-08-05T15:51:20.809Z] GET http://localhost:5174/src/game/layout.ts → 200 (7ms, ?B)
[2026-08-05T15:51:20.809Z] GET http://localhost:5174/src/state/loop.ts → 200 (7ms, ?B)
[2026-08-05T15:51:20.809Z] GET http://localhost:5174/src/state/replay.ts → 200 (7ms, ?B)
[2026-08-05T15:51:20.809Z] GET http://localhost:5174/src/ui/CrashPanel.tsx → 200 (7ms, ?B)
[2026-08-05T15:51:20.809Z] GET http://localhost:5174/src/ui/components/InterwaveOverlay.tsx → 200 (7ms, ?B)
[2026-08-05T15:51:20.809Z] GET http://localhost:5174/src/ui/components/MageCard.tsx → 200 (7ms, ?B)
[2026-08-05T15:51:20.809Z] GET http://localhost:5174/src/ui/components/TopBar.tsx → 200 (8ms, ?B)
[2026-08-05T15:51:20.812Z] GET http://localhost:5174/src/ui/components/TowerPanel.tsx → 200 (5ms, ?B)
[2026-08-05T15:51:20.812Z] GET http://localhost:5174/src/data/economy.ts → 200 (5ms, ?B)
[2026-08-05T15:51:20.813Z] GET http://localhost:5174/src/ui/data/stageFixtures.ts → 200 (4ms, ?B)
[2026-08-05T15:51:20.815Z] GET http://localhost:5174/src/game/types.ts → 200 (2ms, ?B)
[2026-08-05T15:51:20.815Z] GET http://localhost:5174/src/game/grid.ts → 200 (2ms, ?B)
[2026-08-05T15:51:20.815Z] GET http://localhost:5174/src/game/waves.ts → 200 (2ms, ?B)
[2026-08-05T15:51:20.815Z] GET http://localhost:5174/src/game/towers.ts → 200 (2ms, ?B)
[2026-08-05T15:51:20.815Z] GET http://localhost:5174/src/game/enemies.ts → 200 (2ms, ?B)
[2026-08-05T15:51:20.815Z] GET http://localhost:5174/src/game/rules/elements.ts → 200 (3ms, ?B)
[2026-08-05T15:51:20.815Z] GET http://localhost:5174/src/data/enemies.ts → 200 (3ms, ?B)
[2026-08-05T15:51:20.815Z] GET http://localhost:5174/src/data/mages.ts → 200 (3ms, ?B)
[2026-08-05T15:51:20.815Z] GET http://localhost:5174/src/render/canvas.ts → 200 (3ms, ?B)
[2026-08-05T15:51:20.815Z] GET http://localhost:5174/src/render/crystal.ts → 200 (3ms, ?B)
[2026-08-05T15:51:20.815Z] GET http://localhost:5174/src/render/decals.ts → 200 (3ms, ?B)
[2026-08-05T15:51:20.815Z] GET http://localhost:5174/src/render/entities.ts → 200 (3ms, ?B)
[2026-08-05T15:51:20.815Z] GET http://localhost:5174/src/render/field.ts → 200 (3ms, ?B)
[2026-08-05T15:51:20.815Z] GET http://localhost:5174/src/render/fx.ts → 200 (3ms, ?B)
[2026-08-05T15:51:20.815Z] GET http://localhost:5174/src/render/glyphs.ts → 200 (3ms, ?B)
[2026-08-05T15:51:20.819Z] GET http://localhost:5174/art/title-hero.png → 200 (?ms, ?B)
[2026-08-05T15:51:32.605Z] GET http://localhost:5174/atlas/hikari-neutral.png → 304 (7ms, ?B)
[2026-08-05T15:51:32.606Z] GET http://localhost:5174/atlas/aoi-neutral.png → 304 (7ms, ?B)
[2026-08-05T15:51:32.606Z] GET http://localhost:5174/atlas/kai-neutral.png → 304 (7ms, ?B)
[2026-08-05T15:51:32.606Z] GET http://localhost:5174/atlas/takumi-neutral.png → 304 (7ms, ?B)
[2026-08-05T15:51:32.610Z] GET http://localhost:5174/assets/art/ground-valley-dark.png → 304 (3ms, ?B)
[2026-08-05T15:51:32.611Z] GET http://localhost:5174/assets/art/tower-fire.png → 304 (2ms, ?B)
[2026-08-05T15:51:32.611Z] GET http://localhost:5174/assets/art/tower-ice.png → 304 (2ms, ?B)
[2026-08-05T15:51:32.611Z] GET http://localhost:5174/assets/art/tower-lightning.png → 304 (3ms, ?B)
[2026-08-05T15:51:32.611Z] GET http://localhost:5174/assets/art/tower-wind.png → 304 (3ms, ?B)
[2026-08-05T15:51:32.611Z] GET http://localhost:5174/assets/art/enemy-shade.png → 304 (2ms, ?B)
[2026-08-05T15:51:32.611Z] GET http://localhost:5174/assets/art/enemy-armored.png → 304 (3ms, ?B)
[2026-08-05T15:51:32.611Z] GET http://localhost:5174/assets/art/enemy-scout.png → 304 (3ms, ?B)
[2026-08-05T15:51:32.611Z] GET http://localhost:5174/assets/art/enemy-boss.png → 304 (3ms, ?B)
[2026-08-05T15:51:32.611Z] GET http://localhost:5174/assets/circles/128/fire-1.png → 200 (3ms, ?B)
[2026-08-05T15:51:32.611Z] GET http://localhost:5174/assets/circles/128/fire-2.png → 200 (3ms, ?B)
[2026-08-05T15:51:32.612Z] GET http://localhost:5174/assets/circles/128/fire-3.png → 200 (2ms, ?B)
[2026-08-05T15:51:32.612Z] GET http://localhost:5174/assets/circles/128/ice-1.png → 200 (4ms, ?B)
